movie,rt_critic,rt_audience
Spooks: The Greater Good,63,50
Away from Her,94,81
Hamlet,76,59
Jexi,19,71
After the Dark,71,44
All Eyez on Me,18,53
Wonderland,34,65
All the Bright Places,64,61
47 Meters Down: Uncaged,45,68
Kill Me Three Times,16,30
The Kissing Booth 2,28,39
Valiant,32,29
Billy Lynn's Long Halftime Walk,44,41
Vanity Fair,50,50
The Upside of Anger,75,63
Tuck Everlasting,60,70
White Squall,58,65
Shelter,60,85
The Great Raid,38,70
Mars Needs Moms,37,40
Escobar: Paradise Lost,55,49
Juste la fin du monde,43,55
Cold Creek Manor,12,23
Down Periscope,12,62
The Breadwinner,95,87
The Angriest Man in Brooklyn,9,30
Mississippi Grind,91,55
I'm Still Here,53,38
Marshall,80,84
First Daughter,8,43
El abrazo de la serpiente,96,84
Cool World,4,31
Nine Lives,14,41
Below,64,44
The Last Seduction,94,76
Breakfast on Pluto,57,80
Yi yi,,
Im Juli,,
A Little Chaos,48,49
Den 12. mann,86,81
It Takes Two,8,60
Strange Wilderness,2,35
The Outpost,,
The Outsider,80,
Dear Frankie,81,90
Peninsula,54,76
Jane Got a Gun,,
Clockers,71,74
State of Grace,84,83
Cult of Chucky,79,46
Sound of My Voice,75,66
Special Correspondents,17,29
A Prayer Before Dawn,92,74
Mom and Dad,75,39
The Million Dollar Hotel,25,67
Aliens in the Attic,33,43
The Last Mimzy,55,54
Io sono l'amore,81,68
"The Goods: Live Hard, Sell Hard",27,37
Redemption Day,14,58
The Current War,,
The Grudge,21,23
iBoy,69,39
Factory Girl,20,60
The Brady Bunch Movie,62,46
Home on the Range,53,29
Mosul,100,99
Miss March,5,30
La meglio gioventù,,
Bad News Bears,48,46
Our Brand Is Crisis,36,34
Tamara Drewe,65,42
Angela's Ashes,51,81
Lorenzo's Oil,92,79
A Perfect Day,71,56
Dark Blue,59,52
True Memoirs of an International Assassin,0,43
Trash,66,70
Thumbsucker,71,71
The Little Hours,78,49
Yogi Bear,12,34
Last Chance Harvey,71,53
Mad Money,22,48
Ain't Them Bodies Saints,77,61
The Women,14,38
Sleepwalkers,33,31
Butter,34,44
Twisted,1,31
Judas and the Black Messiah,96,95
Mad Dog and Glory,77,45
De fazantenmoordenaars,,
Simon Birch,44,77
Devil's Knot,25,39
3 Ninjas,32,53
Welcome to Marwen,34,48
Our Kind of Traitor,72,50
Harriet,73,97
State and Main,85,70
The Signal,59,58
Red Rock West,95,75
Marauders,24,27
Survival of the Dead,30,19
Captain Ron,23,52
Redbelt,67,65
"Oslo, 31. august",97,82
Feardotcom,3,18
Casa de mi Padre,42,35
Annapolis,10,60
The History Boys,66,70
Pieces of April,84,73
Metoroporisu,86,81
What We Did on Our Holiday,73,71
Cadillac Records,66,65
Lonely Hearts,47,49
Lady Macbeth,88,71
The Return of the Texas Chainsaw Massacre,,
Easy Virtue,52,47
Bailout: The Age of Greed,,
Creep 2,100,71
Barely Lethal,26,36
The Birth of a Nation,73,71
Quigley Down Under,59,74
Enigma,72,54
Ondine,68,60
Resurrecting the Champ,60,60
The Banker,79,100
Nightbreed,39,60
Intruders,32,23
We Are What We Are,86,50
The Opposite of Sex,,
Lucky You,29,28
Ballerina,75,66
Jay and Silent Bob Reboot,65,93
Random Hearts,15,24
Kingsglaive: Final Fantasy XV,12,68
Bounce,52,32
The Yards,64,51
Lost and Delirious,51,78
Blinded by the Light,89,91
Saints and Soldiers,66,77
Early Man,81,49
The Express,62,75
Code 46,51,58
Bride & Prejudice,64,70
Life After Beth,45,31
Marked for Death,27,50
Super Dark Times,90,72
Highlander III: The Sorcerer,5,28
Europa,80,89
Martian Child,35,72
Sand Castle,47,45
Slacker,,
Leatherface,30,24
Lucky,97,81
"Juliet, Naked",83,74
A Haunted House 2,8,43
Colette,87,69
Think Like a Man Too,23,59
Fifty Shades of Black,7,19
Il y a longtemps que je t'aime,88,85
La belle et la bête,41,53
Are We Done Yet?,8,34
Teaching Mrs. Tingle,19,31
Pet Sematary II,22,30
Underdog,16,42
The Alamo,29,45
Big Trouble,48,54
Stop-Loss,65,26
White Fang,65,63
Phantoms,13,27
Six Degrees of Separation,88,71
Kidnapping Freddy Heineken,19,24
Return to Me,62,79
Titus,68,86
Killing Zoe,,
Toy Soldiers,33,66
Scoob!,47,54
Bad Samaritan,53,66
The Croods: A New Age,77,95
Basquiat,68,77
My Summer of Love,90,69
Les poupées russes,72,78
My Soul to Take,10,26
A Dog's Journey,50,91
The Possession of Hannah Grace,18,27
Waiting for Forever,5,42
Terminal,21,36
I Don't Know How She Does It,17,32
Margot at the Wedding,52,40
The Limits of Control,42,43
Nancy Drew,49,59
Bill,,
The Namesake,85,79
Highlander: Endgame,11,38
Hellraiser: Bloodline,27,37
Burke and Hare,33,35
Breathe,68,71
Jue di tao wang,38,27
The Adventures of Rocky & Bullwinkle,43,20
L'amant,32,79
Denial,83,71
After We Collided,14,93
My Dog Skip,73,68
Courageous,36,86
Austenland,32,54
Universal Soldier: Day of Reckoning,56,34
It's All Gone Pete Tong,76,88
Into the Forest,76,43
The Gallows,14,22
Like Father,46,46
Knights of Badassdom,,
The Boxer,80,74
The Numbers Station,30,31
February,73,50
The Quiet Ones,37,25
Monsieur Lazhar,97,86
Beyond Skyline,67,38
Veronica Guerin,53,69
Beirut,82,56
Mad City,36,42
Quartet,80,66
Diana,7,25
Ballistic: Ecks vs. Sever,0,19
