movie,rt_critic,rt_audience
The Man Who Wasn't There,81,85
Family Man,53,67
Murder Mystery,44,42
Hannibal Rising,16,55
Death Becomes Her,54,61
A Christmas Carol,,
Eraser,38,39
Hocus Pocus,38,71
Mortal Kombat,46,57
Ride Along,18,58
The Three Musketeers,28,62
Safe,58,59
Paycheck,27,45
Paul Blart: Mall Cop,34,43
The Iron Lady,52,51
August Rush,37,82
Treasure Planet,69,72
National Lampoon's Van Wilder,18,73
Patriot Games,73,72
Frost/Nixon,93,88
How I Spent My Summer Vacation,82,68
The Mexican,54,44
Sense and Sensibility,97,90
The Foreigner,66,72
Stoker,70,60
Sweet Home Alabama,38,78
The Good Dinosaur,76,65
The Wolfman,34,33
Dancer in the Dark,69,91
The Basketball Diaries,45,76
What Dreams May Come,54,84
Run All Night,59,56
Mirrors,15,44
Crimson Tide,88,83
Saw VI,39,55
Filth,66,67
Marie Antoinette,57,56
Monster House,75,63
Power Rangers,50,65
Tenacious D in The Pick of Destiny,52,67
Why Him?,39,51
Maverick,66,71
Couples Retreat,10,39
101 Dalmatians,41,40
Epic Movie,2,29
The Lucky One,20,67
Repo Men,22,41
Meet the Spartans,2,25
Frequency,70,81
The Forbidden Kingdom,63,60
Dinner for Schmucks,42,42
Welcome to the Jungle,69,66
The X Files Movie,66,72
Rescue Dawn,90,75
Brick,80,86
The 5th Wave,15,38
Faster,42,52
Silence,83,69
Max en de maximonsters,,
The Santa Clause,72,65
Friday,78,91
Bride Wars,11,51
Gifted,73,85
Vacation,27,45
Shanghai Knights,66,54
Scooby-Doo,,
The Autopsy of Jane Doe,87,70
Attack the Block,90,75
Epic,65,65
Legion,19,31
Fright Night,72,59
Downsizing,47,23
Just Like Heaven,55,75
Hot Shots!,83,65
Movie 43,4,24
Sphere,11,38
The Ladykillers,54,43
"Love, Simon",91,88
The Lorax,54,63
Alpha Dog,54,67
Little Nicky,22,55
Paddington,97,80
Jacob's Ladder,73,84
The Rum Diary,51,36
The Full Monty,96,79
Poseidon,33,43
A Dangerous Method,78,50
Primer,72,79
Fences,92,75
My Name Is Khan,85,83
Paranormal Activity 2,58,48
Behind Enemy Lines,37,62
Frankenweenie,87,70
Unleashed,66,75
Wall Street: Money Never Sleeps,55,44
United 93,90,83
The Huntsman: Winter's War,19,45
The Good Shepherd,55,51
Broken Flowers,87,70
Friday the 13th,26,46
Tropa de Elite,51,87
Ip Man 2,96,84
Bean,44,53
That Awkward Moment,22,46
Not Another Teen Movie,29,55
Extremely Loud & Incredibly Close,46,61
The Interpreter,57,54
Brother Bear,37,65
Dan in Real Life,65,69
Music and Lyrics,63,68
Naked Gun 33 1/3: The Final Insult,54,53
The Switch,52,44
The Final Destination,28,35
Headhunters,93,85
Anaconda,37,24
Bedazzled,50,42
Before the Devil Knows You're Dead,88,71
Running Scared,41,79
Your Highness,27,34
The Counselor,33,23
The Florida Project,96,80
St. Vincent,77,78
Glengarry Glen Ross,95,88
Super Troopers,35,90
U.S. Marshals,25,53
Never Back Down,23,34
The Cloverfield Paradox,21,42
The Devil All the Time,64,79
Leap Year,92,56
Ruby Sparks,79,75
Long Shot,81,74
Geostorm,16,35
The Last Witch Hunter,18,43
Paper Towns,58,47
The Cell,45,57
Conan the Barbarian,25,30
Inherent Vice,73,52
The Invitation,89,69
Lady in the Water,25,49
Booksmart,96,77
Money Monster,58,50
ParaNorman,89,72
Lockout,38,46
Den of Thieves,42,62
Alice Through the Looking Glass,29,48
30 Minutes or Less,45,40
Colombiana,27,67
Vacancy,55,42
Drive Angry,47,37
The Five-Year Engagement,64,51
Philomena,91,89
A League of Their Own,78,84
Cheaper by the Dozen,24,56
Insidious: Chapter 3,57,51
"Good Night, and Good Luck.",93,83
Zathura: A Space Adventure,76,51
Ghost Ship,16,37
Jingle All the Way,17,38
eXistenZ,74,69
Conspiracy Theory,57,64
Journey 2: The Mysterious Island,45,59
Ali,68,65
Jobs,28,40
The Core,40,34
Splice,75,37
