movie,rt_critic,rt_audience
Contracted,53,29
Hell Fest,40,41
Leatherface: Texas Chainsaw Massacre III,19,31
Better Living Through Chemistry,22,38
Breathe In,56,41
Barbershop 2: Back in Business,68,48
Welcome to Collinwood,55,56
The Road Within,45,69
Battle in Seattle,56,65
Body of Evidence,8,23
Medianeras,67,83
Come to Daddy,86,75
My Fellow Americans,47,64
Agent Cody Banks 2: Destination London,14,31
Mary Reilly,26,40
The Lifeguard,16,26
Senseless,6,45
Cats & Dogs: The Revenge of Kitty Galore,13,38
A Fantastic Fear of Everything,34,35
A Futile and Stupid Gesture,67,71
Entebbe,,
Keepers,,
Unforgettable,28,33
Ararat,55,71
The Musketeer,11,33
The Wild Thornberrys Movie,80,51
For Your Consideration,52,43
Message from the King,45,49
The Sea of Trees,17,42
American Outlaws,14,68
The Personal History of David Copperfield,92,53
Knock Off,8,25
Return of the Living Dead III,55,40
2 Days in New York,66,42
Holy Smoke,45,47
Exposed,8,16
The Big White,30,56
Imagine That,41,40
Little Man Tate,73,66
The Baytown Outlaws,22,54
Moartea domnului Lãzãrescu,93,82
The Big Kahuna,73,71
Bless the Child,3,43
Creation,46,49
Some Kind of Beautiful,6,30
Trees Lounge,81,79
A Late Quartet,76,71
Factotum,74,62
Hot Summer Nights,43,57
Gotti,0,45
Tiny Furniture,80,54
"Love, Guaranteed",56,35
Bandslam,82,64
Head Over Heels,10,56
The Doom Generation,47,62
Mr. 3000,55,30
The Brown Bunny,47,46
Smilla's Sense of Snow,52,57
Slackers,10,50
Run Hide Fight,44,93
Sorority Boys,12,54
Return to Paradise,71,74
Bordello of Blood,15,30
Fun Size,25,47
Diary of a Mad Black Woman,16,87
Dickie Roberts: Former Child Star,23,46
Christine,88,71
Phantom,,36
Post Grad,8,27
Lymelife,64,52
The Man Who Invented Christmas,79,77
The Intruder,33,68
I Am Not a Serial Killer,93,61
Snow Falling on Cedars,39,67
The Life Before Her Eyes,24,51
Open Windows,42,20
Cecil B. Demented,53,67
True Crimes,0,30
Little Monsters,80,100
Ready to Rumble,23,52
Fallen,7,66
The Great Buck Howard,71,49
The Willoughbys,91,64
War Room,34,87
Boze Cialo,,
"Welcome Home, Roscoe Jenkins",23,63
Just Wright,46,61
Sugar & Spice,28,42
Largo Winch,53,49
