movie,rt_critic,rt_audience,year,runtime,genre,imdb,meta,imdb_votes
The Shawshank Redemption,91.0,98.0,1994,142 min,Drama,9.3,80,2360495
The Dark Knight,94.0,94.0,2008,152 min,"Action, Crime, Drama",9.0,84,2319761
Inception,87.0,91.0,2010,148 min,"Action, Adventure, Sci-Fi",8.8,74,2083710
Fight Club,79.0,96.0,1999,139 min,Drama,8.8,66,1868351
Pulp Fiction,92.0,96.0,1994,154 min,"Crime, Drama",8.9,94,1839615
Forrest Gump,71.0,95.0,1994,142 min,"Drama, Romance",8.8,82,1824422
The Matrix,88.0,85.0,1999,136 min,"Action, Sci-Fi",8.7,73,1688772
The Lord of the Rings: The Fellowship of the Ring,91.0,95.0,2001,178 min,"Action, Adventure, Drama",8.8,92,1672907
The Lord of the Rings: The Return of the King,93.0,86.0,2003,201 min,"Action, Adventure, Drama",8.9,94,1653351
Interstellar,72.0,86.0,2014,169 min,"Adventure, Drama, Sci-Fi",8.6,74,1528320
The Dark Knight Rises,87.0,90.0,2012,164 min,"Action, Adventure",8.4,78,1525646
The Lord of the Rings: The Two Towers,95.0,95.0,2002,179 min,"Action, Adventure, Drama",8.7,87,1495193
Seven,83.0,95.0,1995,127 min,"Crime, Drama, Mystery",8.6,65,1457172
Django Unchained,87.0,91.0,2012,165 min,"Drama, Western",8.4,81,1369223
Gladiator,77.0,87.0,2000,155 min,"Action, Adventure, Drama",8.5,67,1350359
Batman Begins,84.0,94.0,2005,140 min,"Action, Adventure",8.2,70,1316216
The Silence of the Lambs,96.0,95.0,1991,118 min,"Crime, Drama, Thriller",8.6,85,1281537
Inglourious Basterds,89.0,88.0,2009,153 min,"Adventure, Drama, War",8.3,69,1278853
The Avengers,91.0,91.0,2012,143 min,"Action, Adventure, Sci-Fi",8.0,69,1267516
The Avengers,91.0,91.0,1998,89 min,"Action, Adventure, Sci-Fi",3.8,12,41112
The Avengers,5.0,15.0,2012,143 min,"Action, Adventure, Sci-Fi",8.0,69,1267516
The Avengers,5.0,15.0,1998,89 min,"Action, Adventure, Sci-Fi",3.8,12,41112
Saving Private Ryan,93.0,95.0,1998,169 min,"Drama, War",8.6,91,1244660
Schindler's List,97.0,97.0,1993,195 min,"Biography, Drama, History",8.9,94,1221469
The Wolf of Wall Street,79.0,83.0,2013,180 min,"Biography, Crime, Drama",8.2,75,1202039
The Prestige,76.0,92.0,2006,130 min,"Drama, Mystery, Sci-Fi",8.5,66,1199425
The Departed,90.0,94.0,2006,151 min,"Crime, Drama, Thriller",8.5,85,1198539
The Green Mile,78.0,94.0,1999,189 min,"Crime, Drama, Fantasy",8.6,61,1157527
Shutter Island,68.0,76.0,2010,138 min,"Mystery, Thriller",8.2,63,1141345
Memento,93.0,94.0,2000,113 min,"Mystery, Thriller",8.4,80,1132631
Avatar,82.0,82.0,2009,162 min,"Action, Adventure, Fantasy",7.8,83,1123857
American Beauty,87.0,93.0,1999,122 min,Drama,8.3,84,1075458
Titanic,89.0,69.0,1997,194 min,"Drama, Romance",7.8,75,1053543
