movie,rt_critic,rt_audience
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,91,79
Godzilla,15,28
Star Wars: Episode IX - The Rise of Skywalker,51,86
Tropic Thunder,82,70
Terminator 3: Rise of the Machines,69,46
The Cabin in the Woods,92,74
28 Days Later...,87,85
Unforgiven,96,93
American Pie,61,61
Aquaman,65,74
Aladdin,57,94
Brave,78,75
Room,93,93
The Shape of Water,92,72
Sicario,92,85
Cloverfield,78,68
The Devil Wears Prada,75,76
Bruce Almighty,48,57
Ready Player One,72,77
Moneyball,94,86
In Time,36,51
Cars,74,79
Despicable Me 2,75,85
John Wick: Chapter 2,89,85
Fast & Furious 6,70,84
The Big Short,88,88
Madagascar,54,66
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",76,
Black Hawk Down,76,88
Die Hard: With a Vengeance,59,83
Venom,29,81
The Godfather: Part III,68,63
Collateral,86,84
Easy A,85,77
Ocean's Twelve,54,60
Wanted,72,69
Fast & Furious 7,82,82
The Machinist,77,83
The Illusionist,73,83
The Town,92,85
2012,39,47
Dumb and Dumber,68,84
Fast & Furious 5,77,83
Passengers,30,63
Knocked Up,89,83
Face/Off,92,82
The Fast and the Furious,53,74
127 Hours,93,85
The Mask,77,68
22 Jump Street,84,77
3 Idiots,100,93
The Game,,
The Fault in Our Stars,81,85
Maleficent,54,70
Cloud Atlas,66,66
Sweeney Todd: The Demon Barber of Fleet Street,86,81
Men in Black II,38,45
Terminator Salvation,33,54
Mission: Impossible - Rogue Nation,94,87
The Italian Job,73,80
The Fighter,90,89
Inside Man,86,85
Friends with Benefits,68,65
Die Hard 2,69,70
The Others,83,77
Super 8,81,75
A Star Is Born,90,79
Signs,74,67
Mean Girls,84,66
Yes Man,46,66
Boyhood,97,80
Men in Black 3,68,70
Moon,90,89
The Equalizer,60,76
The Aviator,86,79
Hotel Rwanda,91,94
The Devil's Advocate,63,80
Wedding Crashers,76,70
Sleepy Hollow,69,80
Der Untergang,90,94
Mission: Impossible III,71,69
Anchorman: The Legend of Ron Burgundy,66,86
Man on Fire,38,89
Spider-Man: Far from Home,90,95
Speed,94,76
The Irishman,95,86
50 First Dates,45,65
Flight,77,75
The Expendables,42,64
De Lego Film,9,30
Snowpiercer,94,72
Brokeback Mountain,87,82
Due Date,40,52
Monsters University,80,81
Mulholland Drive,83,87
Jumanji: Welcome to the Jungle,76,87
Ocean's Thirteen,69,75
The Ring,71,48
Moonrise Kingdom,93,86
Up in the Air,90,79
Jackie Brown,87,85
Pineapple Express,68,73
Night at the Museum,43,67
Mission: Impossible II,57,42
50/50,93,88
Ant-Man and the Wasp,87,75
The Rock,66,85
TRON: Legacy,51,63
Being John Malkovich,93,87
True Grit,95,85
Pearl Harbor,24,66
Fantastic Four,9,18
Home Alone 2: Lost in New York,34,61
Equilibrium,41,81
Meet the Parents,84,79
Shooter,47,80
Burn After Reading,78,65
Jack Reacher,64,67
Jumanji,55,62
Les Misérables,70,79
The Simpsons Movie,87,77
Constantine,46,72
Tenet,70,76
The Interview,51,48
Hoe Tem Je Een Draak 2,79,60
Click,34,66
Hellboy,81,66
About Time,69,81
Hugo,93,78
Jojo Rabbit,80,94
Eyes Wide Shut,75,73
National Treasure,46,76
Total Recall,31,47
The Mummy Returns,47,63
The Nightmare Before Christmas,95,91
The Island,,
Lucky Number Slevin,51,87
10 Things I Hate About You,69,69
Le Mans '66,92,98
Real Steel,60,73
Fifty Shades of Grey,24,41
Transformers: Age of Extinction,17,50
The Proposal,44,67
Jurassic Park III,49,36
Hitch,69,62
Salt,62,59
Interview with the Vampire: The Vampire Chronicles,63,86
Solo: A Star Wars Story,69,64
The Book of Eli,46,64
The Blind Side,66,85
Lord of War,61,84
The Secret Life of Walter Mitty,51,71
The Hangover Part III,20,44
Deja Vu,56,73
Mission: Impossible - Fallout,97,88
The Expendables 2,67,67
10 Cloverfield Lane,90,79
Pretty Woman,64,68
There's Something About Mary,83,61
A.I. Artificial Intelligence,74,64
Magnolia,83,89
RED,72,72
Taken 2,22,52
Babel,69,77
The Wrestler,98,88
3:10 to Yuma,89,86
Bridge of Spies,90,87
The Hunger Games: Mockingjay - Part 2,69,66
Scream,79,79
"O Brother, Where Art Thou?",78,89
Bad Neighbours,73,63
From Dusk Till Dawn,62,76
Seven Pounds,27,75
Jumper,15,44
The Bourne Legacy,55,58
The Transporter,54,73
Jagten,93,93
Contagion,85,63
Serenity,82,91
Public Enemies,68,59
Annihilation,88,66
The Nice Guys,91,79
Bird Box,64,57
The Mist,71,65
Liar Liar,82,75
Shrek the Third,42,52
Gattaca,82,87
300: Rise of an Empire,45,51
Donnie Brasco,88,89
Insidious,66,62
The Dictator,57,44
John Wick: Chapter 3 - Parabellum,89,86
Alien³,,
Ace Ventura: Pet Detective,49,57
Pitch Perfect,81,83
Con Air,56,75
Notting Hill,83,79
As Good as It Gets,85,86
The Man from U.N.C.L.E.,68,73
Insomnia,92,77
Beauty and the Beast,71,80
Moonlight,98,79
Vaiana,95,89
Batman Returns,80,73
Kingsman: The Golden Circle,51,64
Angels & demons - Het bernini mysterie,,57
Before Sunrise,100,93
Snow White and the Huntsman,49,52
Kong: Skull Island,75,69
Zero Dark Thirty,91,80
Law Abiding Citizen,26,75
Prince of Persia: The Sands of Time,37,58
Superman Returns,75,61
Clash of the Titans,27,40
Apollo 13,96,87
School of Rock,91,64
Starship Troopers,65,70
Bridesmaids,90,76
Step Brothers,55,69
The Fugitive,96,89
Jurassic World: Fallen Kingdom,47,48
The Royal Tenenbaums,80,89
Kingdom of Heaven,39,72
A Bug's Life,92,73
Moulin Rouge!,76,89
Green Lantern,,71
Lone Survivor,75,87
The Twilight Saga: New Moon,28,61
Pirates of the Caribbean: Salazar's Revenge,29,61
Scent of a Woman,89,92
Forgetting Sarah Marshall,83,76
Fast & Furious,28,67
The Accountant,51,76
Pride & Prejudice,86,89
Gone in Sixty Seconds,26,77
The World's End,89,71
Fear and Loathing in Las Vegas,49,89
Terminator Genisys,27,53
Panic Room,75,63
The Jungle Book,94,86
Shazam!,90,82
28 Weeks Later,71,66
Mulan,73,49
Olympus Has Fallen,49,66
Ice Age: The Meltdown,57,71
Hellboy II: The Golden Army,86,71
1408,79,61
Hannibal,40,62
Stardust,76,86
Contact,66,78
Kick-Ass 2,32,57
Alien: Covenant,65,55
John Carter,52,60
The Patriot,62,81
Kung Fu Panda 2,81,74
Predestination,84,75
Red Dragon,68,74
Robin Hood,43,58
Almost Famous,89,92
Meet the Fockers,38,58
Underworld,31,79
Dredd,79,72
Atonement,83,80
The Holiday,49,80
Incredibles 2,93,84
Hulk,62,29
2 Fast 2 Furious,36,50
Gone Baby Gone,94,86
Phone Booth,72,64
Fantastic 4: Rise of the Silver Surfer,37,51
Now You See Me 2,33,53
Marriage Story,94,85
8 Mile,75,54
Non-Stop,62,63
Unknown,55,55
Vanilla Sky,42,72
Manchester by the Sea,96,78
Creed,95,89
The Gentlemen,,
Resident Evil,35,67
Dark Shadows,35,46
The Place Beyond the Pines,78,75
Road to Perdition,81,86
Mrs. Doubtfire,71,77
Zoolander,63,80
Corpse Bride,84,77
Blade,55,78
The A-Team,49,66
Lincoln,89,81
Van Helsing,24,57
The Adjustment Bureau,71,67
Lady Bird,99,79
Enemy at the Gates,53,82
Hereditary,89,67
The Other Guys,78,60
Jerry Maguire,83,79
Noah,76,41
The Village,43,57
The Fast and the Furious: Tokyo Drift,37,69
Vicky Cristina Barcelona,81,74
Office Space,80,93
Finding Dory,94,84
Warcraft: The Beginning,28,76
Seven Psychopaths,83,71
The Greatest Showman,57,86
Dances with Wolves,83,87
Blow,55,87
Bad Boys,42,78
The Grey,,0
Nocturnal Animals,74,73
American Pie 2,52,68
Boogie Nights,93,89
Sully,85,84
Changeling,62,82
Chronicle,85,71
Rush Hour,61,78
GoldenEye,78,83
True Lies,71,76
Rango,88,69
Before Sunset,94,91
Battleship,34,54
RocknRolla,60,71
A Few Good Men,83,89
Hook,29,76
Paul,70,62
Batman Forever,38,32
Perfume: The Story of a Murderer,59,74
Walk the Line,82,90
Batman & Robin,11,16
Crank,61,71
Dawn of the Dead,75,77
Sunshine,77,73
Saw II,36,59
The Blair Witch Project,86,56
The Descendants,87,79
Scary Movie,52,43
Bad Boys II,23,78
The Twilight Saga: Breaking Dawn - Part 2,49,70
Elf,85,79
Us,93,59
The Bucket List,41,77
The Artist,95,87
The Reader,63,79
Alita: Battle Angel,61,92
Spy,95,78
Final Destination,35,68
Sucker Punch,22,47
21,36,66
Chappie,32,56
Alien: Resurrection,54,39
Megamind,73,72
Dodgeball: A True Underdog Story,71,76
Don Jon,79,58
Star Trek: Beyond,86,80
Grown Ups,11,62
Valkyrie,62,65
War for the Planet of the Apes,94,84
The Twilight Saga: Eclipse,48,60
End of Watch,85,86
Lawless,66,74
The Fountain,52,74
Eastern Promises,89,83
Identity,62,75
Escape Plan,50,55
Enemy of the State,72,78
I Am Number Four,33,57
The Boondock Saints,28,91
Bridget Jones's Diary,80,81
The Conjuring 2,80,81
BlacKkKlansman,96,83
Fantastic Beasts: The Crimes of Grindelwald,36,54
Hotel Transylvania,45,72
The Chronicles of Riddick: Pitch Black,60,77
Uncut Gems,91,52
Philadelphia,80,89
The Tourist,20,42
Ice Age: Dawn of the Dinosaurs,46,62
21 Grams,80,86
The Twilight Saga: Breaking Dawn - Part 1,25,60
A History of Violence,87,76
Ender's Game,62,65
Ghost Rider,26,48
The Road,,
The Beach,20,57
Don't Breathe,88,78
Maze Runner: The Scorch Trials,47,54
Sinister,63,61
The Intern,59,73
"Me, Myself & Irene",47,57
Just Go with It,19,59
The Lone Ranger,30,51
Austin Powers: International Man of Mystery,71,77
The Lobster,87,65
Disturbia,69,77
Knowing,34,42
Paranormal Activity,83,57
Role Models,77,74
Focus,56,53
Warm Bodies,81,73
Stranger Than Fiction,73,85
National Treasure: Book of Secrets,36,67
Insurgent,28,58
Southpaw,60,75
Rambo,37,69
Natural Born Killers,48,81
Mr. Nobody,68,76
Mamma Mia!,55,66
Transcendence,19,37
Austin Powers: The Spy Who Shagged Me,52,71
The Adventures of Tintin,74,74
Chicago,86,83
RoboCop,48,49
Call Me by Your Name,94,86
Dr. Seuss' How the Grinch Stole Christmas,49,56
What's Eating Gilbert Grape?,90,89
Meet Joe Black,45,81
Old School,60,86
The Lincoln Lawyer,83,82
The Ides of March,83,73
Lion,84,91
Kiss Kiss Bang Bang,86,87
Murder on the Orient Express,60,53
The Chronicles of Riddick,,80
Shakespeare in Love,92,80
No Strings Attached,49,51
Body of Lies,55,62
Silent Hill,31,63
San Andreas,49,52
Cube,63,76
Thank You for Smoking,86,87
Minions,55,49
Munich,78,83
How to Lose a Guy in 10 Days,42,77
Predators,65,52
Romeo + Juliet,72,77
Clerks,89,89
It Follows,95,66
Me Before You,54,73
Mars Attacks!,54,53
Planet of the Apes,44,27
Glass,37,67
It Chapter Two,62,78
Jason Bourne,54,55
Män som hatar kvinnor,85,87
Game Night,85,77
Wind River,88,90
Life,67,54
Cowboys & Aliens,44,43
Dogma,67,85
True Romance,93,93
Hercules,58,48
Rio,72,71
Safe House,53,63
White House Down,51,62
Daredevil,44,35
Match Point,77,81
Madagascar 2,64,66
Garden State,86,88
Gangster Squad,31,57
The VVitch: A New-England Folktale,90,59
Cloudy with a Chance of Meatballs,86,72
Midsommar,83,63
Toy Story 4,97,94
Fast & Furious 8,67,72
Die Another Day,56,41
The Ugly Truth,14,60
Hell or High Water,97,88
Ghostbusters,74,50
Tarzan,89,75
Rocky Balboa,77,76
Get Smart,51,67
Closer,68,81
Master and Commander: The Far Side of the World,85,80
Anger Management,42,60
American Reunion,45,63
The Purge,39,36
Ace Ventura: When Nature Calls,25,72
Hidden Figures,93,93
The Descent,86,76
The Girl Next Door,56,69
The Impossible,81,84
Carlito's Way,81,91
Fantastic Mr. Fox,93,85
Pain & Gain,50,47
Teenage Mutant Ninja Turtles,21,50
Ad Astra,83,40
Big Daddy,39,74
Blade II,57,68
P.S. I Love You,25,80
Rush Hour 2,52,74
A Walk to Remember,27,78
G.I. Joe: The Rise of Cobra,34,50
Oz the Great and Powerful,57,56
Finding Neverland,83,87
Remember the Titans,73,93
Coraline,90,73
Napoleon Dynamite,72,74
A Good Day to Die Hard,14,40
Ghost,74,80
Happy Gilmore,62,85
Lara Croft: Tomb Raider,20,47
Everest,72,68
Revolutionary Road,67,71
The Babadook,98,72
Death Race,42,60
Chef,87,85
2 Guns,65,66
Ghost in the Shell,43,51
A Series of Unfortunate Events,72,63
You've Got Mail,70,73
Traffic,92,85
EuroTrip,47,75
Austin Powers in Goldmember,53,44
The Happening,17,24
Soul,95,88
The Chronicles of Narnia: Prince Caspian,66,73
Hansel & Gretel: Witch Hunters,16,53
American Wedding,54,63
The Croods,72,77
"I Love You, Man",83,74
Bram Stoker's Dracula,74,79
Bad Teacher,45,36
King Arthur: Legend of the Sword,30,69
Mother!,,60
Ice Age: Continental Drift,37,62
Orphan,56,63
Blue Jasmine,90,77
"South Park: Bigger, Longer & Uncut",80,88
What Women Want,54,54
After Earth,11,36
Transporter 2,52,58
Tomb Raider,52,55
The Boy in the Striped Pyjamas,64,85
Captain Fantastic,82,85
Jumanji: The Next Level,71,87
You Don't Mess with the Zohan,37,45
Bolt,89,74
Primal Fear,76,89
Hanna,71,66
Machete,72,63
Underworld: Evolution,17,72
The Internship,35,51
Ocean's Eight,69,45
Project X,28,61
Miss Congeniality,41,69
The World Is Not Enough,52,49
Lola rennt,93,90
Drag Me to Hell,92,62
Tinker Tailor Soldier Spy,83,65
The Hitman's Bodyguard,43,67
Dark City,76,85
Fracture,71,73
Sleepers,73,85
Legally Blonde,70,72
The Hitchhiker's Guide to the Galaxy,60,65
The Taking of Pelham 123,51,52
El Camino: A Breaking Bad Movie,91,81
Assassin's Creed,18,43
Resident Evil: Apocalypse,20,60
Ted 2,44,50
The Magnificent Seven,64,72
Clueless,82,76
Misery,90,90
Shrek Forever After,58,54
Unstoppable,87,72
AVP: Alien vs. Predator,20,39
The Next Three Days,50,66
Blue Valentine,86,77
The Vow,31,63
"I, Tonya",90,88
Shame,79,75
Resident Evil: Extinction,24,58
The Secret Life of Pets,72,62
The Talented Mr. Ripley,84,80
Secret Window,46,65
Harold & Kumar Go to White Castle,74,80
Love & Other Drugs,49,53
17 Again,56,67
Tomorrow Never Dies,57,53
Wrath of the Titans,26,49
Keizer Kuzco,85,83
The Darjeeling Limited,69,78
War Dogs,61,69
The Hunt for Red October,89,88
The Polar Express,56,63
Waterworld,46,43
The Life Aquatic with Steve Zissou,56,82
Knight and Day,52,49
Air Force One,78,66
Dracula Untold,25,58
Side Effects,81,70
Straight Outta Compton,89,86
Sideways,97,79
Cruel Intentions,55,81
Taken 3,12,44
The Judge,49,72
The Golden Compass,42,51
Basic Instinct,54,63
Jupiter Ascending,27,38
The English Patient,85,83
Adaptation.,91,85
Robin Hood: Prince of Thieves,51,72
Saw III,28,71
Night at the Museum: Battle of the Smithsonian,44,47
Chocolat,62,83
Grindhouse,84,87
A Million Ways to Die in the West,33,41
Percy Jackson & the Lightning Thief,49,53
Chicken Run,97,65
Twister,59,58
Enchanted,93,80
Atomic Blonde,78,64
Sausage Party,82,50
Cinderella Man,80,91
Charlie's Angels,68,45
Eagle Eye,26,62
This Means War,26,56
Swordfish,25,59
Jarhead,61,68
The Last King of Scotland,87,89
Erin Brockovich,84,81
Stargate,53,73
K-PAX,42,75
Cape Fear,75,77
World Invasion: Battle Los Angeles,36,48
The Woman in Black,67,54
The Favourite,93,69
Darkest Hour,84,82
The Bank Job,80,74
The Thin Red Line,80,80
xXx,48,58
About a Boy,93,55
G.I. Joe: Retaliation,28,48
The Promise,51,92
De IJzeren reus,,
Ronin,68,80
Project T,,
Falling Down,73,84
A Knight's Tale,59,79
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,78,78
Zack and Miri Make a Porno,65,66
Desperado,64,79
The Invisible Man,91,88
Pocahontas,55,64
Happy Feet,76,70
The Girl on the Train,44,48
First Man,87,67
Pi,88,85
Hostel,61,53
Rushmore,89,91
The Assassination of Jesse James by the Coward Robert Ford,76,75
Get Him to the Greek,72,62
25th Hour,78,85
The Expendables 3,32,49
Enemy,71,63
Bright,28,83
The Mask of Zorro,82,73
Lilo & Stitch,86,77
Anchorman 2: The Legend Continues,75,52
Fast & Furious Presents: Hobbs & Shaw,67,88
Mud,,
Mama,63,55
Melancholia,80,67
Surrogates,37,38
High Fidelity,91,90
Black Mass,73,68
13 Going on 30,65,70
The League of Extraordinary Gentlemen,17,44
The Ninth Gate,44,57
The Tree of Life,84,60
Talladega Nights: The Ballad of Ricky Bobby,71,73
The Change-Up,25,47
Red Sparrow,45,49
Shark Tale,36,43
Independence Day: Resurgence,30,30
Wonder Woman 1984,59,74
The Crow,83,90
Layer Cake,80,85
Dazed and Confused,92,90
Blade: Trinity,25,59
Tucker and Dale vs Evil,85,84
What Happens in Vegas,26,65
"Girl, Interrupted",53,84
Ed Wood,92,88
30 Days of Night,51,56
The Danish Girl,66,72
Deep Impact,45,43
Milk,93,89
Madagascar 3: Europe's Most Wanted,78,72
The Legend of Tarzan,36,58
Space Jam,43,63
The Day the Earth Stood Still,20,27
Valerian and the City of a Thousand Planets,47,53
The Karate Kid,66,67
Baywatch,18,69
The Longest Yard,31,62
Army of Darkness,73,87
Need for Speed,22,57
The Heat,66,71
Alexander,16,35
He's Just Not That Into You,41,59
Cars 2,40,49
Hot Tub Time Machine,63,56
Resident Evil: Afterlife,22,48
Cinderella,83,78
Beowulf,71,50
Extraction,67,69
Sleepless in Seattle,75,75
Upgrade,88,87
Hitman,16,57
Immortals,46,48
Inferno,23,36
Central Intelligence,71,62
RED 2,44,63
Over the Hedge,75,71
The Insider,96,90
Three Kings,94,77
Event Horizon,28,61
Point Break,70,79
Legend,61,59
Exodus: Gods and Kings,31,35
Demolition Man,60,66
Team America: World Police,77,80
King Arthur,31,59
American Made,86,78
Horrible Bosses 2,35,47
The Hills Have Eyes,52,58
What We Do in the Shadows,96,86
Road Trip,57,65
Blades of Glory,70,68
X-Men: Dark Phoenix,22,64
The Lovely Bones,32,52
Scream 2,81,57
Transporter 3,40,48
Rise of the Guardians,75,80
In the Name of the Father,94,95
Lethal Weapon 3,60,61
The Man in the Iron Mask,,74
Evil Dead,63,63
The Perfect Storm,47,64
Michael Clayton,91,69
The Ghost Writer,84,70
Miss Peregrine's Home for Peculiar Children,64,60
The Master,84,61
Insidious: Chapter 2,39,57
"Definitely, Maybe",70,72
The Age of Adaline,54,67
The Bone Collector,29,63
The Green Hornet,44,43
Steve Jobs,85,73
27 Dresses,41,57
The Chronicles of Riddick: Rule the Dark,,
Letters from Iwo Jima,91,86
Once Upon a Time in Mexico,66,64
Hard Candy,67,78
Rush Hour 3,18,63
Lethal Weapon 4,53,64
The Cable Guy,53,51
The Sorcerer's Apprentice,40,53
Wild Wild West,17,28
The Last Airbender,5,30
Sin City: A Dame to Kill For,43,44
Deepwater Horizon,83,82
Date Night,66,55
Final Destination 2,48,58
Saving Mr. Banks,,
Flightplan,37,48
Adventureland,89,61
The Meg,45,42
Terminator: Dark Fate,70,82
Incendies,92,92
The Last of the Mohicans,93,88
Underworld: Rise of the Lycans,29,63
The Mummy: Tomb of the Dragon Emperor,12,30
The Mechanic,53,51
Unbroken,51,70
